2026-01-15 13:14:59,903,dht1_T, dht2_T, dht3_T, dht1_H, dht2_H, dht3_H, hm, tm, CO2, eCO2, TVOC, t_min, t_max, h_min, h_max, heat_rele, hum_rele, fan_rele
2026-01-15 13:15:13,050,43,-43,45,24,-24,19,12,21,1692,0,0,22,30,10,30,0,0,0
2026-01-15 13:15:19,189,43,-43,45,24,-24,19,12,21,-865,659,39,22,30,10,30,0,0,0
2026-01-15 13:15:25,329,43,-43,45,24,-24,19,12,21,-862,1663,301,22,30,10,30,0,0,0
2026-01-15 13:15:31,459,43,-43,45,25,-25,19,12,21,-862,1663,301,22,30,10,30,0,0,0
2026-01-15 13:15:37,489,43,-43,45,25,-25,19,12,21,-865,700,45,22,30,10,30,0,0,0
2026-01-15 13:15:43,637,43,-43,45,25,-25,19,12,21,-865,1629,272,22,30,10,30,0,0,0
2026-01-15 13:15:49,664,43,-43,45,25,-25,19,12,21,-861,1676,314,22,30,10,30,0,0,0
2026-01-15 13:15:55,802,43,-43,45,25,-25,19,12,21,-862,1644,285,22,30,10,30,0,0,0
2026-01-15 13:16:02,098,43,-43,45,25,-25,19,12,21,-863,611,32,22,30,10,30,0,0,0
2026-01-15 13:16:08,286,43,-43,45,25,-25,19,12,21,1694,1652,292,22,30,10,30,0,0,0
2026-01-15 13:16:14,436,43,-43,45,25,-25,19,12,21,1698,1581,229,22,30,10,30,0,0,0
2026-01-15 13:16:20,466,43,-43,45,25,-25,19,12,21,1700,1629,272,22,30,10,30,1,0,0
2026-01-15 13:16:26,620,43,-43,45,25,-25,19,12,21,1700,1644,285,22,30,10,30,0,0,0
2026-01-15 13:16:32,747,43,-43,45,25,-25,19,12,21,1700,1618,262,22,30,10,30,0,0,0
2026-01-15 13:16:38,896,43,-43,45,25,-25,19,12,21,1702,1618,262,22,30,10,30,1,0,0
2026-01-15 13:16:44,940,43,-43,45,25,-25,19,12,21,1702,1663,301,22,30,10,30,0,0,0
2026-01-15 13:16:51,051,43,-43,45,25,-25,19,12,21,1704,1629,272,22,30,10,30,0,0,0
2026-01-15 13:16:57,193,43,-43,45,25,-25,19,12,21,1706,1629,272,22,30,10,30,1,0,0
2026-01-15 13:17:03,246,43,-43,45,25,-25,19,12,21,1704,1640,281,22,30,10,30,0,0,0
2026-01-15 13:17:09,282,43,-43,45,24,-24,18,12,21,1704,1629,272,22,30,10,30,0,0,0
2026-01-15 13:17:15,318,43,-43,45,24,-24,18,12,21,1704,1652,292,22,30,10,30,1,0,0
2026-01-15 13:17:21,359,44,-44,45,24,-24,18,12,22,1706,1663,301,22,30,10,30,0,0,0
2026-01-15 13:17:27,392,44,-44,46,24,-24,18,12,22,1706,1640,281,22,30,10,30,0,0,0
2026-01-15 13:17:33,500,44,-44,46,24,-24,18,12,22,1704,1618,262,22,30,10,30,0,0,0
2026-01-15 13:17:39,791,44,-44,46,24,-24,18,12,22,1706,1618,262,22,30,10,30,0,0,0
2026-01-15 13:17:45,944,44,-44,46,23,-23,18,11,22,1706,1629,272,22,30,10,30,0,0,0
2026-01-15 13:17:52,538,44,-44,46,23,-23,17,11,22,1704,1618,262,22,30,10,30,0,0,0
2026-01-15 13:17:58,784,45,-45,46,23,-23,17,11,22,1706,1601,246,22,30,10,30,0,0,0
2026-01-15 13:18:06,916,45,-45,46,23,-23,17,11,22,-862,1652,292,22,30,10,30,0,0,0
2026-01-15 13:18:13,038,45,-45,46,23,-23,17,11,22,1704,1644,285,22,30,10,30,0,0,0
2026-01-15 13:18:21,139,45,-45,47,23,-23,17,11,22,1706,1659,297,22,30,10,30,0,0,0
2026-01-15 13:18:27,188,45,-45,47,22,-22,17,11,22,1706,1607,253,22,30,10,30,0,0,0
2026-01-15 13:18:33,221,45,-45,47,22,-22,17,11,22,1706,793,59,22,30,10,30,0,0,0
2026-01-15 13:18:39,396,45,-45,47,22,-22,17,11,22,1704,1652,292,22,30,10,30,0,0,0
2026-01-15 13:18:45,939,45,-45,47,22,-22,17,11,22,1706,1597,242,22,30,10,30,0,0,0
2026-01-15 13:18:52,045,45,-45,47,22,-22,17,11,22,1704,1228,126,22,30,10,30,0,0,0
2026-01-15 13:19:00,497,45,-45,47,22,-22,17,11,22,1706,905,76,22,30,10,30,0,0,0
2026-01-15 13:19:06,520,45,-45,47,22,-22,17,11,22,1706,1663,301,22,30,10,30,0,0,0
2026-01-15 13:19:13,769,45,-45,47,22,-22,17,11,22,1706,891,74,22,30,10,30,0,0,0
2026-01-15 13:19:24,654,45,-45,47,22,-22,17,11,22,-866,778,57,22,30,10,30,0,0,0
2026-01-15 13:19:31,161,45,-45,47,22,-22,17,11,22,1706,1547,205,22,30,10,30,0,0,0
2026-01-15 13:19:37,615,45,-45,47,22,-22,17,11,22,1706,848,68,22,30,10,30,0,0,0
2026-01-15 13:19:44,081,45,-45,47,22,-22,17,11,22,1706,949,83,22,30,10,30,0,0,0
2026-01-15 13:19:50,669,45,-45,47,22,-22,17,11,22,1704,891,74,22,30,10,30,0,0,0
2026-01-15 13:19:57,052,45,-45,47,22,-22,17,11,22,-866,913,78,22,30,10,30,0,0,0
2026-01-15 13:20:03,255,45,-45,47,22,-22,17,11,22,-865,832,65,22,30,10,30,0,0,0
2026-01-15 13:20:09,427,45,-45,47,22,-22,17,11,22,1706,872,71,22,30,10,30,0,0,0
2026-01-15 13:20:15,891,45,-45,47,22,-22,17,11,22,1706,810,62,22,30,10,30,0,0,0
2026-01-15 13:20:21,994,45,-45,47,22,-22,17,11,22,1706,891,74,22,30,10,30,0,0,0
2026-01-15 13:20:28,286,45,-45,47,22,-22,17,11,22,1704,793,59,22,30,10,30,0,0,0
2026-01-15 13:20:34,820,45,-45,47,22,-22,17,11,22,1704,793,59,22,30,10,30,0,0,0
2026-01-15 13:20:41,359,45,-45,47,22,-22,17,11,22,1704,981,88,22,30,10,30,0,0,0
2026-01-15 13:20:47,441,45,-45,47,23,-23,17,11,22,1706,778,57,22,30,10,30,0,0,0
2026-01-15 13:20:53,622,44,-44,46,23,-23,17,11,22,-865,832,65,22,30,10,30,0,0,0
2026-01-15 13:21:02,849,44,-44,46,23,-23,17,11,22,-866,821,64,22,30,10,30,0,0,0
2026-01-15 13:21:09,001,44,-44,46,23,-23,17,11,22,-865,810,62,22,30,10,30,0,0,0
2026-01-15 13:21:15,140,44,-44,46,23,-23,18,11,22,-865,959,85,22,30,10,30,0,0,0
2026-01-15 13:21:22,113,44,-44,46,23,-23,18,11,22,1706,848,68,22,30,10,30,0,0,0
2026-01-15 13:21:28,181,44,-44,46,23,-23,18,11,22,1706,810,62,22,30,10,30,0,0,0
2026-01-15 13:21:34,457,44,-44,46,23,-23,18,11,22,1706,882,73,22,30,10,30,0,0,0
2026-01-15 13:21:40,561,44,-44,46,23,-23,18,11,22,1706,656,39,22,30,10,30,0,0,0
2026-01-15 13:21:47,152,43,-43,46,24,-24,18,12,21,1706,514,17,22,30,10,30,1,0,0
2026-01-15 13:21:54,081,43,-43,46,24,-24,18,12,21,-865,810,62,22,30,10,30,0,0,0
2026-01-15 13:22:00,522,43,-43,45,24,-24,19,12,21,-867,891,74,22,30,10,30,0,0,0
2026-01-15 13:22:07,665,43,-43,45,24,-24,19,12,21,1708,627,34,22,30,10,30,0,0,0
2026-01-15 13:22:14,528,43,-43,45,24,-24,19,12,21,1708,891,74,22,30,10,30,1,0,0
2026-01-15 13:22:20,627,43,-43,45,24,-24,19,12,21,-864,708,46,22,30,10,30,0,0,0
2026-01-15 13:22:26,966,43,-43,45,24,-24,18,12,21,-866,656,39,22,30,10,30,0,0,0
2026-01-15 13:22:33,015,43,-43,45,24,-24,19,12,21,-862,1663,301,22,30,10,30,0,0,0
2026-01-15 13:22:40,465,43,-43,45,25,-25,19,12,21,1708,810,62,22,30,10,30,1,0,0
2026-01-15 13:22:46,719,43,-43,45,25,-25,19,12,21,1710,645,37,22,30,10,30,0,0,0
2026-01-15 13:22:52,933,43,-43,45,25,-25,19,12,21,1708,1618,262,22,30,10,30,0,0,0
2026-01-15 13:22:59,684,43,-43,45,25,-25,19,12,21,1710,1629,272,22,30,10,30,1,0,0
2026-01-15 13:23:05,739,43,-43,45,25,-25,19,12,21,-861,645,37,22,30,10,30,0,0,0
2026-01-15 13:23:11,943,43,-43,45,25,-25,19,12,21,-866,1652,292,22,30,10,30,0,0,0
2026-01-15 13:23:18,363,43,-43,45,25,-25,19,12,21,-861,1663,301,22,30,10,30,0,0,0
2026-01-15 13:23:24,796,43,-43,45,25,-25,19,12,21,-861,1629,272,22,30,10,30,0,0,0
2026-01-15 13:23:31,802,43,-43,45,24,-24,19,12,21,1710,645,37,22,30,10,30,0,0,0
